Date,Month,Day,HijriMonth,HijriDay,Fajr,FajrIqama,Sunrise,Dhuhr,DhuhrIqama,Asr,AsrIqama,Maghrib,MaghribIqama,Isha,IshaIqama
2022-01-01,1,1,Jamada-I,28,6:25,6:45,8:01,12:40,1:00,2:52,3:30,5:13,5:18,6:42,7:15
2022-01-02,1,2,Jamada-I,29,6:25,6:45,8:01,12:41,1:00,2:52,3:30,5:14,5:19,6:43,7:15
2022-01-03,1,3,Jamada-I,30,6:25,6:45,8:01,12:41,1:00,2:53,3:30,5:15,5:20,6:44,7:15
2022-01-04,1,4,Jamada-II,1,6:25,6:45,8:01,12:42,1:00,2:54,3:30,5:16,5:21,6:45,7:15
2022-01-05,1,5,Jamada-II,2,6:25,6:45,8:01,12:42,1:00,2:55,3:30,5:17,5:22,6:45,7:15
2022-01-06,1,6,Jamada-II,3,6:25,6:45,8:01,12:42,1:00,2:56,3:30,5:18,5:23,6:46,7:15
2022-01-07,1,7,Jamada-II,4,6:25,6:45,8:01,12:43,1:00,2:57,3:30,5:19,5:24,6:47,7:15
2022-01-08,1,8,Jamada-II,5,6:25,6:45,8:01,12:43,1:00,2:58,3:30,5:20,5:25,6:48,7:15
2022-01-09,1,9,Jamada-II,6,6:25,6:45,8:01,12:44,1:00,2:59,3:30,5:21,5:26,6:49,7:15
2022-01-10,1,10,Jamada-II,7,6:25,6:45,8:00,12:44,1:00,2:59,3:30,5:22,5:27,6:49,7:15
2022-01-11,1,11,Jamada-II,8,6:25,6:45,8:00,12:45,1:00,3:00,3:30,5:23,5:28,6:50,7:15
2022-01-12,1,12,Jamada-II,9,6:24,6:45,8:00,12:45,1:00,3:01,3:30,5:24,5:29,6:51,7:15
2022-01-13,1,13,Jamada-II,10,6:24,6:45,7:59,12:45,1:00,3:02,3:30,5:25,5:30,6:52,7:15
2022-01-14,1,14,Jamada-II,11,6:24,6:45,7:59,12:46,1:00,3:03,3:45,5:26,5:31,6:53,7:15
2022-01-15,1,15,Jamada-II,12,6:23,6:45,7:59,12:46,1:00,3:04,3:45,5:27,5:32,6:54,7:15
2022-01-16,1,16,Jamada-II,13,6:23,6:45,7:58,12:46,1:00,3:05,3:45,5:29,5:34,6:55,7:15
2022-01-17,1,17,Jamada-II,14,6:23,6:45,7:58,12:47,1:00,3:06,3:45,5:30,5:35,6:56,7:15
2022-01-18,1,18,Jamada-II,15,6:22,6:45,7:57,12:47,1:00,3:07,3:45,5:31,5:36,6:57,7:15
2022-01-19,1,19,Jamada-II,16,6:22,6:45,7:57,12:47,1:00,3:09,3:45,5:32,5:37,6:58,7:15
2022-01-20,1,20,Jamada-II,17,6:21,6:45,7:56,12:48,1:00,3:10,3:45,5:33,5:38,6:59,7:15
2022-01-21,1,21,Jamada-II,18,6:21,6:45,7:55,12:48,1:00,3:11,3:45,5:35,5:40,7:00,7:30
2022-01-22,1,22,Jamada-II,19,6:20,6:45,7:55,12:48,1:00,3:12,3:45,5:36,5:41,7:01,7:30
2022-01-23,1,23,Jamada-II,20,6:19,6:45,7:54,12:49,1:00,3:13,3:45,5:37,5:42,7:02,7:30
2022-01-24,1,24,Jamada-II,21,6:19,6:45,7:53,12:49,1:00,3:14,3:45,5:38,5:43,7:03,7:30
2022-01-25,1,25,Jamada-II,22,6:18,6:45,7:52,12:49,1:00,3:15,3:45,5:40,5:45,7:04,7:30
2022-01-26,1,26,Jamada-II,23,6:17,6:45,7:52,12:49,1:00,3:16,3:45,5:41,5:46,7:05,7:30
2022-01-27,1,27,Jamada-II,24,6:16,6:45,7:51,12:50,1:00,3:17,3:45,5:42,5:47,7:07,7:30
2022-01-28,1,28,Jamada-II,25,6:16,6:45,7:50,12:50,1:00,3:18,4:00,5:43,5:48,7:08,7:30
2022-01-29,1,29,Jamada-II,26,6:15,6:45,7:49,12:50,1:00,3:19,4:00,5:45,5:50,7:09,7:30
2022-01-30,1,30,Jamada-II,27,6:14,6:45,7:48,12:50,1:00,3:20,4:00,5:46,5:51,7:10,7:30
2022-01-31,1,31,Jamada-II,28,6:13,6:45,7:47,12:50,1:00,3:21,4:00,5:47,5:52,7:11,7:30
2022-02-01,2,1,Jamada-II,29,6:12,6:45,7:46,12:50,1:00,3:23,4:00,5:49,5:54,7:12,7:30
2022-02-02,2,2,Rajab,1,6:11,6:45,7:45,12:51,1:00,3:24,4:00,5:50,5:55,7:13,7:30
2022-02-03,2,3,Rajab,2,6:10,6:45,7:44,12:51,1:00,3:25,4:00,5:51,5:56,7:14,7:30
2022-02-04,2,4,Rajab,3,6:09,6:30,7:43,12:51,1:00,3:26,4:00,5:53,5:58,7:15,7:45
2022-02-05,2,5,Rajab,4,6:08,6:30,7:42,12:51,1:00,3:27,4:00,5:54,5:59,7:16,7:45
2022-02-06,2,6,Rajab,5,6:07,6:30,7:40,12:51,1:00,3:28,4:00,5:55,6:00,7:18,7:45
2022-02-07,2,7,Rajab,6,6:06,6:30,7:39,12:51,1:00,3:29,4:00,5:56,6:01,7:19,7:45
2022-02-08,2,8,Rajab,7,6:05,6:30,7:38,12:51,1:00,3:30,4:00,5:58,6:03,7:20,7:45
2022-02-09,2,9,Rajab,8,6:04,6:30,7:37,12:51,1:00,3:31,4:00,5:59,6:04,7:21,7:45
